context,name,suffix,driver,sensor,regex,resource,timeout,rename,input1,output1,input2,output2,input3,output3,input4,output4,input5,output5,input6,output6,input7,output7
sio-eng-sio ,sio-eng-sio ,telemetered,,,,,,,,,,,,,,,,,,,,
spkir-abj-dcl,spkir-abj-dcl,recovered,/spkir_abj/dcl/spkir_abj_dcl_recovered_driver.py,RS03AXVM-DP03A-05-SPKIRC302,,spkir_abj/dcl/resource,,,20020113.spkir2.log,rec_20020113.spkir2.yml,,,,,,,,,,,,
spkir-abj-dcl,spkir-abj-dcl,telemetered,/spkir_abj/dcl/spkir_abj_dcl_telemetered_driver.py,RS03AXVM-DP03A-05-SPKIRC302,,spkir_abj/dcl/resource,,,20020113.spkir2.log,tel_20020113.spkir2.yml,,,,,,,,,,,,
vel3d-a-mmp-cds,vel3d-a-mmp-cds,recovered,/vel3d_a/mmp_cds/vel3d_a_mmp_cds_recovered_driver.py,XX00XXXX-XX00X-00-FLNTUX000,,vel3d_a/mmp_cds/resource,,,first_data.mpk,first_data.yml,,,,,,,,,,,,
vel3d-k-wfp-stc,vel3d-k-wfp-stc,recovered,/vel3d_k/wfp/vel3d_k_wfp_recovered_driver.py,XX00XXXX-XX00X-00-VEL3DKR00,,vel3d_k/wfp/resource,,,A0000010_5.DAT,A0000010_5_1_5.yml,,,,,,,,,,,,
vel3d-k-wfp-stc,vel3d-k-wfp-stc,telemetered,/vel3d_k/wfp/vel3d_k_wfp_telemetered_driver.py,XX00XXXX-XX00X-00-VEL3DKT00,,vel3d_k/wfp/resource,,,valid_A0000004.DEC,valid_A0000004.yml,,,,,,,,,,,,
vel3d-l-wfp ,vel3d-l-wfp ,recovered,,,,,,,,,,,,,,,,,,,,
vel3d-l-wfp-sio-mule  ,vel3d-l-wfp-sio-mule  ,telemetered,,,,,,,,,,,,,,,,,,,,
velpt-ab ,velpt-ab ,recovered,,,,,,,,,,,,,,,,,,,,
velpt-ab-dcl ,velpt-ab-dcl ,recovered,/velpt_ab/dcl/velpt_ab_dcl_recovered_driver.py,XX00XXXX-XX00X-00-VELABR000,,velpt_ab/dcl/resource,,,20140813.velpt.log,recovered_20140813.velpt.yml,,,,,,,,,,,,
velpt-ab-dcl ,velpt-ab-dcl ,telemetered,/velpt_ab/dcl/velpt_ab_dcl_telemetered_driver.py,XX00XXXX-XX00X-00-VELABR000,,velpt_ab/dcl/resource,,,20140813.velpt.log,20140813.velpt.yml,,,,,,,,,,,,
