context,name,suffix,driver,sensor,regex,resource,timeout,rename,input1,output1,input2,output2,input3,output3,input4,output4,input5,output5,input6,output6,input7,output7
flort-kn-stc-imodem,flort-kn-stc-imodem,recovered,/FLORT_KN/STC_IMODEM/flort_kn__stc_imodem_recovered_driver.py,XX00XXXX-XX00X-00-FLORTKNR0,,FLORT_KN/STC_IMODEM/resource,,,second.DAT, secondRecovered.result.yml,,,,,,,,,,,,
flort-kn-stc-imodem,flort-kn-stc-imodem,telemetered,/FLORT_KN/STC_IMODEM/flort_kn__stc_imodem_telemetered_driver.py,XX00XXXX-XX00X-00-FLORTKNT0,,FLORT_KN/STC_IMODEM/resource,,,second.DAT, second.result.yml,,,,,,,,,,,,
flort-m-glider,flort-m-glider,recovered,/moas/gl/flort_m/flort_m_glider_recovered_driver.py,XX00XXXX-XX00X-00-FLORTMR000,,moas/gl/flort_m/resource,,,single_glider_record.mrg,single_flort_record_recovered.mrg.result.yml,,,,,,,,,,,,
flort-m-glider,flort-m-glider,telemetered,/moas/gl/flort_m/flort_m_glider_telemetered_driver.py,XX00XXXX-XX00X-00-FLORTMT000,,moas/gl/flort_m/resource,,,single_glider_record.mrg,single_flort_record.mrg.result.yml,,,,,,,,,,,,
glider-eng-glider,glider-eng-glider,recovered,/moas/gl/engineering/glider_eng_glider_recovered_driver.py,XX00XXXX-XX00X-00-GLDRER000,,moas/gl/engineering/resource,,,single_glider_record-engDataOnly.mrg,single_glider_record_recovered-engDataOnly.mrg.result.yml,,,,,,,,,,,,
glider-eng-glider,glider-eng-glider,telemetered,/moas/gl/engineering/glider_eng_glider_telemetered_driver.py,XX00XXXX-XX00X-00-GLDRET000,,moas/gl/engineering/resource,,,single_glider_record-engDataOnly.mrg,single_glider_record-engDataOnly.mrg.result.yml,,,,,,,,,,,,
metbk-a-dcl,metbk-a-dcl,recovered,/metbk_a/dcl/metbk_a_dcl_recovered_driver.py,XX00XXXX-XX00X-00-METBKAR0,,metbk_a/dcl/resource,,,20140805.metbk2.log,rec_20140805.metbk2.yml,,,,,,,,,,,,
metbk-a-dcl,metbk-a-dcl,telemetered,/metbk_a/dcl/metbk_a_dcl_telemetered_driver.py,XX00XXXX-XX00X-00-METBKAT0,,metbk_a/dcl/resource,,,20140805.metbk2.log,tel_20140805.metbk2.yml,,,,,,,,,,,,
mopak-o-dcl,mopak-o-dcl,recovered,/cg_stc_eng/stc/mopak_o_dcl_recovered_driver.py,XX00XXXX-XX00X-00-CGSTCM100,,cg_stc_eng/stc/resource,,0,20140120_140004.mopak.log,first_mopak_recov.result.yml,,,,,,,,,,,,
mopak-o-dcl,mopak-o-dcl,telemetered,/cg_stc_eng/stc/mopak_o_dcl_telemetered_driver.py,XX00XXXX-XX00X-00-CGSTCM000,,cg_stc_eng/stc/resource,,0,20140120_140004.mopak.log,first_mopak.result.yml,,,,,,,,,,,,
nutnr-b,nutnr-b,recovered,/nutnr_b/nutnr_b_recovered_driver.py,XX00XXXX-XX00X-00-NUTNRR000,,nutnr_b/resource,,,SCH14178.DAT,SCH14178.yml,,,,,,,,,,,,
nutnr-b-dcl-conc,nutnr-b-dcl-conc,recovered,/nutnr_b/dcl_conc/nutnr_b_dcl_conc_recovered_driver.py,XX00XXXX-XX00X-00-NUTNRR010,,nutnr_b/dcl_conc/resource,,,20020125.nutnr_b_dcl_conc.log,rec_20020125.nutnr_b_dcl_conc.yml,,,,,,,,,,,,
nutnr-b-dcl-conc,nutnr-b-dcl-conc,telemetered,/nutnr_b/dcl_conc/nutnr_b_dcl_conc_telemetered_driver.py,XX00XXXX-XX00X-00-NUTNRT010,,nutnr_b/dcl_conc/resource,,,20020125.nutnr_b_dcl_conc.log,tel_20020125.nutnr_b_dcl_conc.yml,,,,,,,,,,,,
nutnr-b-dcl-full,nutnr-b-dcl-full,recovered,/nutnr_b/dcl_full/nutnr_b_dcl_full_recovered_driver.py,XX00XXXX-XX00X-00-NUTNRR020,,nutnr_b/dcl_full/resource,,,20031129.nutnr_b_dcl_full.log,rec_20031129.nutnr_b_dcl_full.yml,,,,,,,,,,,,
